ID,dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol),gb_Ex_difference,SQR_gbnsr6_Ex_difference,pb_Ex_difference
33,Mobley benchmarkset,cd-set2,bcd,guest-11,-2.512,0.007,-1.96,0.01,-61.5561,-0.9422,15.7075,-78.1711,1.8496,-682.4952,-34.4403,-530.2231,-123.801,5.9692,-752.0756,-53.2697,-537.8328,-166.7769,5.8038,-169.0036,512.5556,-537.8328,-149.5302,5.8038,-57.3874,5.2243,15.7075,-80.1689,1.8496,-121.4925,507.3313,-530.2231,-104.5699,5.9692,-8.01089999999999,-8.02430000000004,-1.96,-6.05089999999999,36.6133908099999,-6.06430000000004
34,Mobley benchmarkset,cd-set2,bcd,guest-12,-3.599,0.018,-2.82,0.01,-58.2995,-0.9205,16.1447,-75.4008,1.8772,-656.504,-33.3603,-479.5709,-149.3789,5.8061,-728.4252,-53.8042,-507.7153,-172.5108,5.605,-116.8844,535.6855,-507.7153,-150.4596,5.605,-18.2472,41.0163,16.1447,-77.2854,1.8772,-101.9367,494.6692,-479.5709,-122.841,5.8061,-16.2239,-13.6217,-2.82,-13.4039,179.66453521,-10.8017
35,Mobley benchmarkset,cd-set2,bcd,guest-13,-2.557,0.066,0.47,0.03,-6.3763,-0.0222,52.9359,-61.1695,1.8795,-658.0916,-34.562,-478.9553,-150.5595,5.9853,-669.3904,-47.8656,-416.0062,-211.3747,5.8562,-160.8034,439.9762,-416.0062,-190.6296,5.8562,-58.8481,-50.8353,52.9359,-62.8281,1.8795,-108.9491,490.8115,-478.9553,-126.7906,5.9853,-6.28760000000003,-4.92250000000001,0.47,-6.75760000000003,45.6651577600004,-5.39250000000001
36,Mobley benchmarkset,cd-set2,bcd,guest-14,-1.554,0.167,0.88,0.17,0.1436,-0.0904,8.9984,-9.9841,1.2197,-666.0184,-35.0116,-495.0822,-141.8581,5.9335,-671.821,-45.1223,-485.9262,-146.4361,5.6637,-129.4321,474.4637,-485.9262,-123.6332,5.6637,-21.4087,-22.8047,8.9984,-8.8222,1.2197,-113.1872,497.2683,-495.0822,-121.3069,5.9335,-4.85649999999998,-5.94619999999998,0.88,-5.73649999999998,32.9074322499998,-6.82619999999998
37,Mobley benchmarkset,cd-set2,bcd,guest-15,-4.175,0.01,-2.29,0.03,-6.1893,-0.4414,1.1336,-8.455,1.5735,-665.6749,-33.7503,-493.6747,-144.1982,5.9483,-684.857,-50.954,-492.8723,-146.6533,5.6226,-123.4975,487.8395,-492.8723,-124.0872,5.6226,-17.5092,-13.0889,1.1336,-7.1274,1.5735,-108.9503,500.9283,-493.6747,-122.1523,5.9483,-13.8003,-12.9928,-2.29,-11.5103,132.48700609,-10.7028
38,Mobley benchmarkset,cd-set2,bcd,guest-16,-4.319,0.006,-2.27,0.01,-19.3196,-0.5083,-11.1169,-9.2628,1.5684,-672.4669,-32.2355,-518.2366,-127.8777,5.8828,-702.6289,-49.5247,-530.3478,-128.2976,5.5412,-130.7646,499.9186,-530.3478,-105.8767,5.5412,-22.3307,-4.939,-11.1169,-7.8432,1.5684,-112.5794,504.8576,-518.2366,-105.0833,5.8828,-12.6354,-10.8424,-2.27,-10.3654,107.44151716,-8.5724
39,Mobley benchmarkset,cd-set2,bcd,guest-17,-4.971,0.036,-3.92,0.06,-3.7638,1.166,3.2125,-9.7771,1.6348,-664.1682,-35.3852,-501.0026,-133.7423,5.962,-685.3246,-54.8286,-498.1806,-137.9663,5.6509,-122.3871,485.6057,-498.1806,-115.4631,5.6509,-13.8078,-10.2767,3.2125,-8.3784,1.6348,-111.0066,495.8825,-501.0026,-111.8485,5.962,-18.1821,-17.3926000000001,-3.92,-14.2621,203.407496410001,-13.4726000000001
40,Mobley benchmarkset,cd-set2,bcd,guest-18,-2.28,0.03,1.31,0.04,-72.7458,-0.5655,5.168,-79.0015,1.6531,-663.4313,-36.1953,-492.163,-141.0058,5.9329,-743.3207,-49.791,-508.884,-190.3256,5.6799,-160.8756,509.7068,-508.884,-167.3783,5.6799,-64.5728,10.098,5.168,-81.4919,1.6531,-102.4083,499.6088,-492.163,-115.7869,5.9329,-6.9247,-7.14359999999999,1.31,-8.2347,67.81028409,-8.45359999999999
41,Mobley benchmarkset,cd-set2,bcd,guest-19,-1.458,0.036,-2.75,0.13,-44.823,-1.0276,32.278,-77.8584,1.785,-662.9948,-33.0303,-492.907,-142.9017,5.8441,-718.0941,-49.7544,-474.0232,-200.0628,5.7464,-175.3758,471.9799,-474.0232,-179.0789,5.7464,-70.3265,-24.5879,32.278,-79.8017,1.785,-109.8065,496.5678,-492.907,-119.3115,5.8441,-10.9393,-10.2763,-2.75,-8.1893,67.06463449,-7.52629999999999
42,Mobley benchmarkset,cd-set2,bcd,guest-20,-2.156,0.01,-2.93,0.03,-44.5429,-1.3863,36.0319,-81.0453,1.8568,-672.0976,-35.5244,-507.2481,-135.226,5.9009,-725.6556,-56.5251,-487.4827,-187.1708,5.523,-167.7313,477.4768,-487.4827,-163.2484,5.523,-67.6992,-22.3874,36.0319,-83.2005,1.8568,-110.9211,499.8642,-507.2481,-109.4381,5.9009,-8.72540000000001,-9.01509999999996,-2.93,-5.79540000000001,33.5866611600001,-6.08509999999996
43,Mobley benchmarkset,cd-set2,bcd,guest-21,-3.518,0.007,-2.25,0.01,-54.0568,-1.2949,23.0443,-77.6474,1.8412,-657.0398,-31.7954,-481.0197,-150.1077,5.883,-724.6345,-49.5859,-468.3901,-212.4766,5.8182,-151.4031,497.6995,-468.3901,-186.5306,5.8182,-53.2496,1.272,23.0443,-79.4072,1.8412,-99.6917,496.4275,-481.0197,-120.9825,5.883,-14.9574,-13.5379,-2.25,-12.7074,161.47801476,-11.2879
