ID,dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol),gb_Ex_difference,SQR_gbnsr6_Ex_difference,pb_Ex_difference
13,Mobley benchmarkset,cd-set1,acd,guest-13,-3.604,0.004,-4.28,0.02,-8.3044,-0.2628,52.0518,-61.9471,1.8537,-549.2501,-30.685,-391.0571,-132.5913,5.0833,-566.6423,-50.0229,-344.3053,-177.2675,4.9535,-139.1219,360.0012,-344.3053,-159.7713,4.9535,-59.069,-49.3723,52.0518,-63.6022,1.8537,-87.1586,409.3735,-391.0571,-110.5583,5.0833,-11.9694,-9.08780000000002,-4.28,-7.68939999999998,59.1268723599997,-4.80780000000002
14,Mobley benchmarkset,cd-set1,acd,guest-14,-4.137,0.004,-4.66,0.02,-51.9089,-0.688,11.3413,-64.5095,1.9472,-564.2737,-29.2511,-401.3316,-138.8019,5.1109,-629.5797,-49.0065,-378.1315,-207.6078,5.166,-124.2113,436.7039,-378.1315,-187.9497,5.166,-35.8932,16.8888,11.3413,-66.0705,1.9472,-92.319,419.815,-401.3316,-115.9134,5.1109,-15.0665,-13.3971,-4.66,-10.4065,108.29524225,-8.73710000000002
15,Mobley benchmarkset,cd-set1,acd,guest-15,-4.166,0.004,-4.74,0.02,-10.2171,-0.4231,50.6137,-62.4443,2.0366,-563.2817,-28.3094,-420.305,-119.7618,5.0945,-583.1574,-47.8325,-362.6281,-177.7223,5.0255,-154.3502,371.2406,-362.6281,-167.9881,5.0255,-56.9169,-45.4646,50.6137,-64.1026,2.0366,-103.2204,416.7052,-420.305,-104.7151,5.0945,-13.3129,-9.65860000000009,-4.74,-8.57290000000001,73.4946144100002,-4.91860000000009
16,Mobley benchmarkset,cd-set1,acd,guest-16,-2.022,0.016,-2.75,0.05,-0.76,0.1861,7.9702,-10.1307,1.2144,-560.5006,-28.5523,-406.7168,-130.3035,5.072,-570.627,-39.9059,-399.734,-135.8925,4.9053,-111.2527,397.6888,-399.734,-114.1129,4.9053,-21.8322,-21.8916,7.9702,-9.1252,1.2144,-92.8026,419.5804,-406.7168,-110.7382,5.072,-8.1576,-9.3664,-2.75,-5.4076,29.24213776,-6.6164
17,Mobley benchmarkset,cd-set1,acd,guest-17,-3.227,1.135,-0.93,0.32,-5.0152,-0.6542,4.2066,-10.2304,1.6629,-564.9328,-25.8244,-437.2679,-106.9166,5.0761,-581.7721,-42.5323,-432.5304,-111.7555,5.046,-109.7615,412.5202,-432.5304,-94.7974,5.046,-13.7608,-10.7256,4.2066,-8.9047,1.6629,-100.5705,423.2458,-437.2679,-91.6246,5.0761,-11.4839,-11.8240999999999,-0.93,-10.5539,111.38480521,-10.8940999999999
18,Mobley benchmarkset,cd-set1,acd,guest-18,-2.596,0.005,-2.75,0.01,-74.9706,-0.3414,3.0144,-79.1318,1.4882,-564.6525,-31.5748,-395.4914,-142.6214,5.0351,-647.2661,-48.1415,-428.3186,-175.6289,4.8229,-148.0609,428.1475,-428.3186,-152.7128,4.8229,-74.6257,2.4931,3.0144,-81.6214,1.4882,-81.2172,425.6545,-395.4914,-116.4153,5.0351,-8.44330000000002,-7.64300000000003,-2.75,-5.69330000000002,32.4136648900002,-4.89300000000003
19,Mobley benchmarkset,cd-set1,acd,guest-19,-3.344,0.01,-4.12,0.06,-108.4722,-0.451,-29.6209,-80.0158,1.6155,-554.0232,-27.3337,-397.2789,-134.5599,5.1493,-668.9876,-43.6261,-448.3987,-181.94,4.9772,-145.2365,458.4954,-448.3987,-160.3104,4.9772,-68.147,41.8648,-29.6209,-82.0064,1.6155,-86.072,416.6306,-397.2789,-110.573,5.1493,-6.85890000000003,-6.49220000000003,-4.12,-2.73890000000003,7.50157321000019,-2.37220000000003
20,Mobley benchmarkset,cd-set1,acd,guest-20,-3.011,0.01,-3.36,0.05,-58.8733,-0.771,19.8072,-79.535,1.6255,-562.0225,-29.7112,-414.4115,-122.9885,5.0886,-629.0728,-47.4249,-422.7012,-163.8286,4.8819,-129.3039,433.5625,-422.7012,-145.0472,4.8819,-49.6371,10.8392,19.8072,-81.909,1.6255,-88.5191,422.7233,-414.4115,-101.9195,5.0886,-8.09040000000002,-8.17700000000002,-3.36,-4.73040000000002,22.3766841600002,-4.81700000000002
21,Mobley benchmarkset,cd-set1,acd,guest-21,-3.991,0.013,-4.19,0.09,-70.0187,-0.8065,8.6868,-79.7147,1.8157,-561.1469,-29.3854,-392.3947,-144.3678,5.001,-644.1034,-49.1928,-412.0417,-187.7786,4.9097,-143.8768,426.4795,-412.0417,-163.2243,4.9097,-65.4863,5.7365,8.6868,-81.7253,1.8157,-82.6763,420.743,-392.3947,-116.0256,5.001,-14.7151,-12.9378,-4.19,-10.5251,110.77773001,-8.74780000000004
22,Mobley benchmarkset,cd-set1,acd,guest-22,-3.597,0.004,-4.48,0.02,-72.2034,-0.7476,7.1683,-80.405,1.7809,-560.8236,-32.4843,-407.9364,-125.4441,5.0412,-646.4312,-51.7214,-409.1274,-190.5455,4.9632,-145.08,433.3991,-409.1274,-174.3148,4.9632,-60.7484,13.4171,7.1683,-83.1147,1.7809,-87.4527,419.982,-407.9364,-104.5395,5.0412,-15.3684,-13.4041999999999,-4.48,-10.8884,118.55725456,-8.92419999999995
